#{"t_start": 1779821085.2606428, "env_id": "SpaceInvadersNoFrameskip-v4"}
r,l,t
210.0,2849,2171.920987
210.0,2353,2182.523415
185.0,2459,2193.588351
65.0,1197,2198.860233
285.0,2879,2211.77878
180.0,2419,2222.645715
265.0,3149,2236.817132
145.0,2025,2245.733258
105.0,1963,2254.509524
180.0,2389,2265.179621
335.0,2295,2275.30711
180.0,1859,2283.501152
30.0,1813,2291.595684
135.0,2309,2301.871052
210.0,2375,2312.521868
210.0,2557,2323.92803
190.0,2585,2335.456743
155.0,2291,2345.642654
140.0,2289,2355.798551
125.0,2191,2365.540809
110.0,1845,2373.80658
135.0,1949,2382.508342
35.0,1755,2390.289858
155.0,2247,2404.103213
110.0,2215,2414.079321
155.0,2309,2424.408455
440.0,2881,2437.275553
180.0,2399,2447.96731
75.0,1161,2452.988463
50.0,1205,2458.224193
230.0,2717,2470.428453
155.0,2263,2480.381561
410.0,2517,2491.633447
110.0,1781,2499.464304
475.0,3039,2512.986746
75.0,1231,2518.319744
180.0,2581,2529.836801
135.0,2085,2539.143511
135.0,1867,2547.351797
210.0,2513,2558.463125
90.0,1861,2566.615714
180.0,2233,2576.512743
185.0,2645,2588.279251
220.0,2685,2600.065971
120.0,2061,2609.227688
65.0,1685,2616.679003
240.0,2981,2629.964512
270.0,3287,2644.557148
125.0,1603,2651.654742
135.0,1971,2660.421252
255.0,2883,2673.245536
135.0,2049,2682.371029
275.0,3115,2696.254482
135.0,1419,2702.589217
80.0,2063,2711.63752
30.0,1191,2716.814987
105.0,1657,2724.173785
195.0,2789,2736.694827
155.0,1745,2744.474943
210.0,2001,2753.250109
440.0,2831,2765.873553
110.0,1519,2772.560831
215.0,2427,2783.307225
105.0,1501,2789.894218
290.0,3045,2803.590292
120.0,1617,2810.679008
155.0,2241,2820.633741
275.0,2713,2832.898195
140.0,2063,2842.075988
180.0,1465,2848.644619
155.0,1955,2860.821276
210.0,1963,2869.620935
400.0,2705,2881.733307
210.0,1997,2890.658245
245.0,2973,2904.048831
75.0,1453,2910.402845
110.0,1553,2917.349436
215.0,1973,2926.103317
335.0,2199,2935.806232
120.0,1973,2944.668675
435.0,2553,2956.02745
390.0,3719,2972.835694
150.0,2041,2981.903744
55.0,1537,2988.698254
210.0,2537,2999.957909
125.0,1919,3008.606329
125.0,1101,3013.453328
185.0,2039,3022.500981
210.0,2335,3032.905461
210.0,1861,3041.213778
375.0,3156,3055.411762
55.0,1059,3060.022032
120.0,2025,3069.079038
135.0,3167,3083.440665
180.0,2093,3092.819109
185.0,2055,3102.046011
90.0,1227,3107.514518
130.0,2033,3116.569989
185.0,2103,3126.000259
235.0,2609,3137.854529
190.0,2529,3149.280477
155.0,1955,3158.103128
40.0,1267,3163.702891
95.0,1517,3170.44275
120.0,1737,3178.203643
240.0,2697,3190.300635
65.0,1339,3196.400411
230.0,3135,3210.660895
50.0,1125,3215.729801
80.0,1427,3222.111069
180.0,2217,3232.181657
195.0,3191,3246.703614
260.0,2559,3258.335086
225.0,2415,3269.361491
395.0,3309,3284.407533
105.0,1625,3291.701296
165.0,2029,3300.931273
120.0,1503,3307.678743
155.0,1521,3314.486614
180.0,1603,3325.63764
120.0,1585,3332.798361
50.0,1217,3338.208709
195.0,2445,3349.43642
490.0,3039,3363.49186
240.0,2665,3375.541384
110.0,1469,3382.101135
225.0,2423,3393.198045
210.0,2121,3402.886205
300.0,2751,3415.455076
110.0,2395,3426.418043
125.0,2051,3435.892411
60.0,1175,3441.23965
180.0,2097,3450.801664
100.0,1153,3455.997445
155.0,2065,3465.505966
185.0,2259,3475.969355
160.0,1553,3483.013661
180.0,1473,3489.810274
80.0,1499,3496.745319
160.0,2205,3507.002413
180.0,1969,3515.990023
210.0,2437,3527.186597
110.0,1879,3535.926029
155.0,2245,3546.475401
240.0,2661,3558.897497
135.0,2091,3568.612578
210.0,2471,3580.096057
135.0,2313,3590.837075
210.0,2599,3603.089248
110.0,1395,3609.675261
320.0,2225,3620.020208
245.0,3249,3635.502073
150.0,2301,3646.403982
25.0,1521,3653.492577
75.0,1097,3658.533541
80.0,1475,3665.448811
210.0,2061,3675.130372
110.0,1425,3681.787566
155.0,1369,3688.177078
105.0,1547,3695.379715
270.0,2843,3708.715774
120.0,1761,3716.999304
210.0,1889,3725.826702
175.0,2431,3737.291106
215.0,2101,3747.219299
190.0,1861,3755.998209
210.0,2381,3767.250371
45.0,1161,3772.730001
445.0,2981,3786.843097
125.0,1987,3801.441468
225.0,2485,3813.306229
75.0,1843,3822.067195
155.0,2063,3831.85346
460.0,3427,3848.175828
245.0,2935,3862.124187
135.0,1973,3871.551278
110.0,1545,3878.788872
215.0,2425,3890.360944
225.0,2467,3902.197872
410.0,2449,3913.971572
250.0,2471,3925.744777
120.0,1633,3933.52116
125.0,2227,3944.152233
245.0,2489,3956.138665
80.0,1563,3963.581314
180.0,1525,3970.811124
110.0,2043,3980.637318
655.0,2947,3994.902779
210.0,2013,4004.44078
180.0,1967,4013.925466
160.0,1849,4022.781383
115.0,1581,4030.285854
210.0,1885,4039.399487
180.0,1947,4048.747943
60.0,1157,4054.198454
250.0,2365,4065.597545
240.0,2647,4078.477594
220.0,2403,4090.142081
210.0,2317,4101.441146
260.0,2405,4113.076424
130.0,1613,4120.794971
55.0,1325,4127.265254
225.0,2355,4138.683662
180.0,1913,4147.885125
210.0,3639,4165.666886
245.0,4463,4187.550549
90.0,1501,4194.857914
120.0,1609,4202.608011
210.0,2003,4212.438512
155.0,2189,4223.136405
210.0,1819,4231.974702
135.0,2105,4242.267698
120.0,2157,4252.814007
135.0,1509,4260.078989
105.0,1503,4267.456621
160.0,1917,4276.81971
210.0,3731,4300.07168
170.0,1927,4309.472779
215.0,2305,4320.88122
155.0,2037,4330.882109
130.0,1387,4337.622404
300.0,2619,4350.412673
165.0,1537,4357.883215
210.0,1997,4367.687423
215.0,2487,4379.971029
255.0,2529,4392.613802
135.0,1757,4401.242834
180.0,2185,4412.036413
320.0,3025,4426.992233
190.0,2175,4437.663179
410.0,2653,4450.450149
215.0,2237,4461.674976
80.0,1195,4467.517292
120.0,1491,4474.870716
105.0,1193,4480.720367
210.0,2393,4492.64008
380.0,2405,4504.618035
120.0,1783,4513.437576
210.0,2113,4523.99698
210.0,2027,4534.175517
410.0,2283,4545.727298
230.0,2603,4558.730588
300.0,2869,4573.069854
225.0,2351,4584.868418
285.0,2753,4598.635952
140.0,2215,4609.857983
380.0,2609,4622.997085
155.0,2247,4634.205813
140.0,2067,4644.678758
265.0,3265,4661.407128
140.0,1829,4670.725892
265.0,2845,4685.205223
180.0,1813,4694.368125
210.0,2109,4705.120819
